id,headword,characters in source,characters in converted,absolute variance,percentage variance,diff
A094902,abderita,175,161,-14,-8,0ca.a.C.).primadel18
A000345,ABS,164,155,-9,-5.5,ABSoabs/abbiˈ
A000375,acaico,119,105,-14,-12,laguerraa.primadel17
A000750,accomodatizio,89,75,-14,-16,omodativo.primadel17
A094909,acheo,385,340,-45,-12,(Foscolo).primadel12
A000982,achilleo,110,102,-8,-7.3,itendine).sec.XX.
A000985,achivo,67,53,-14,-21,t.diacheo.primadel12
A001032,aclistico,104,96,-8,-7.7,Italiani).sec.XX.
A001452,adiga,123,115,-8,-6.5,ilkabardo.sec.XX.
A094910,adriatico,93,79,-14,-15,ontermini.primadel13
A001539,adro,80,71,-9,-11,odeimorti.sec.XVI.
A001591,adynaton,99,93,-6,-6.1,t.adinato.1955.
A094911,adžaristano,155,144,-11,-7.1,džaristanoadzaristan
A001882,affiocare,119,107,-12,-10,ffiochire.dopoil1298
A001889,affisare,71,62,-9,-13,affissare.1285-86.
A002019,africo,99,85,-14,-14,ntodelsud.primadel12
A002097,agghiaccio,68,61,-7,-10,agghiaccio1ag·ghiàc
A002125,aggiugnere,67,56,-11,-16,ggiungere.1260-61ca.
A002208,aggrovigliolare,117,103,-14,-12,ovigliare.primadel15
A002406,aguto,56,39,-17,-30,aguto1a·gù·to
A002417,ahi,59,49,-10,-17,mprovviso.sec.XIII.
A002418,ahimè,91,81,-10,-11,entimento.sec.XIII.
A002446,aire,56,35,-21,-38,aire2ài·res.
A002453,aitare,50,44,-6,-12,diaiutare.1219.
A002454,aiuola,56,42,-14,-25,t.diaiola.primadel13
A002455,aiuolo,63,42,-21,-33,t.diaiolo.secondamet
A002466,à jour,116,110,-6,-5.2,elsign.4).1828.
A002535,albereto,79,35,-44,-56,~Albereta.nelsign.di
A094927,albionico,115,109,-6,-5.2,a;inglese.1958.
A094929,alessandrino,274,259,-15,-5.5,essandrino1a·les·sa
A094930,alessandrino,132,125,-7,-5.3,essandrino2a·les·sa
A094932,algonchino,248,214,-34,-14,ericasett.1829;nella
A002964,all inclusive,206,192,-14,-6.8,ormulaa.i.primadel20
A002978,allò,50,42,-8,-16,.allo(v.).sec.XX.
A094933,allobrogo,200,186,-14,-7,749-1803).finesec.XI
A003120,alo,41,35,-6,-15,.dialone2.1375.
A003150,alpestre,290,257,-33,-11,"digestivo.sign.1,pri"
A094934,alpigiano,193,145,-48,-25,"selvatico.sign.1,ini"
A094940,alverniate,125,117,-8,-6.4,Alvernia.sec.XX.
A094941,amalfitano,118,112,-6,-5.1,odiAmalfi.1829.
A003304,amandola,67,57,-10,-15,imandorla.sec.XIII.
A003332,amarogno,60,54,-6,-10,marognolo.1636.
A094943,amatriciano,374,325,-49,-13,esbracata.primadel19
A003409,ambo,106,79,-27,-25,ambo1àm·boag
A094947,amburghese,141,133,-8,-5.7,zaAmburgo.sec.XX.
A003463,amerindiano,60,54,-6,-10,Amerindio.1955.
A003474,amiatino,84,78,-6,-7.1,eamiatine.1913.
A003692,ammorbidare,103,85,-18,-17,morbidire.primametàs
A094951,amsterdamiano,112,104,-8,-7.1,Amsterdam.sec.XX.
A003815,amuchina,90,82,-8,-8.9,sedicloro.sec.XX.
A004019,ancude,63,45,-18,-29,iincudine.primametàs
A004020,ancudine,82,67,-15,-18,iincudine.iniziosec.
A094960,andorrano,147,139,-8,-5.4,diAndorra.sec.XX.
A094961,angeleno,107,99,-8,-7.5,osAngeles.sec.XX.
A004195,angioino,114,108,-6,-5.3,oXIIIalXV.1829.
A094962,anglico,67,57,-10,-15,t.Inglese.sec.XVII.
A094967,angolano,127,119,-8,-6.3,llAngola.sec.XX.
A004369,annibalico,123,115,-8,-6.5,placabile.sec.XX.
A004390,anno luce,270,256,-14,-5.2,edistanza.primadel19
A005122,antoniano,190,179,-11,-5.8,0ca.-356).sec.XVIII.
A005194,aonio,173,158,-15,-8.7,"ò·nioagg.,poet.~Dei"
A094973,aostano,126,118,-8,-6.3,vodiAosta.sec.XX.
A005209,a parte,422,399,-23,-5.5,lpubblico.primadel19
A005220,ape,136,121,-15,-11,ape2à·pes.m
A005244,apio,30,28,-2,-6.7,~vediappio1eappio2.
A005502,appiè,65,56,-9,-14,(vedipiè).sec.XIV.
A005609,appropiare,75,62,-13,-17,propriare.metàsec.XI
A094976,apuano,71,65,-6,-8.5,gliApuani.1829.
A094977,apulo,228,214,-14,-6.1,sec.IVa.C.primadel18
A094978,aquilano,135,121,-14,-10,llAquila.primadel13
A094980,aquitano,77,71,-6,-7.8,iAquitani.1829.
A094981,arabico,295,274,-21,-7.1,0%arabica.secondamet
A005746,arancione,432,400,-32,-7.4,ef.(invar.oanchepl.-
A005801,arcaicizzare,74,60,-14,-19,rcaizzare.primadel19
A094989,aretino,239,225,-14,-5.9,eroromano.finesec.XI
A094990,argentino,128,121,-7,-5.5,argentino2ar·gen·t
A094991,argivo,128,114,-14,-11,ens.Greco.finesec.XI
A094992,argolico,73,67,-6,-8.2,Argolide.1313.
A006081,ariano,246,231,-15,-6.1,ariano1a·rià·no
A006084,aria-superficie,78,72,-6,-7.7,ria-terra.1983.
A006085,aria-terra,119,113,-6,-5,lialsuolo.1967.
A006116,aristofanesco,203,189,-14,-6.9,to:stilea.primadel18
A006120,aristotelico,231,217,-14,-6.1,filosofoa.primadel14
A006135,arm,119,111,-8,-6.7,tat-arm!).1905ca.
A094993,armeno,319,303,-16,-5,lsec.Vd.C.iniziosec.
A094994,armoricano,83,77,-6,-7.2,Aremorici.1925.
A006213,aromuno,114,108,-6,-5.3,niaeEpiro.1913.
A006301,arriba,60,52,-8,-13,"a,evviva.sec.XX."
A006492,art nouveau,116,110,-6,-5.2,leliberty.1955.
A006512,arturiano,193,179,-14,-7.3,urafacapo.primadel19
A006653,asiaco,145,131,-14,-9.7,Carducci).primadel18
A095001,asiatico,107,101,-6,-5.6,dellAsia.1554.
A095003,assiro,70,64,-6,-8.6,gliAssiri.1337.
A095005,assisiate,156,148,-8,-5.1,182-1226).sec.XX.
A095006,astigiano,112,104,-8,-7.1,ivodiAsti.sec.XX.
A007164,atalantino,121,107,-14,-12,diBergamo.primadel19
A095008,ateniese,93,87,-6,-6.5,vodiAtene.1829.
A007556,augusteo,159,150,-9,-5.7,politicaa.sec.XVI.
A095012,ausonio,103,94,-9,-8.7,",italiano.sec.XVI."
A007623,austerity,104,98,-6,-5.8,elsign.2).1951.
A095014,austriaco,115,109,-6,-5.2,lAustria.1607.
A007669,auto aiuto,220,201,-19,-8.6,limentari.secondamet
A007684,autoblinda,64,56,-8,-12,utoblindo.sec.XX.
A007720,autocivetta,80,72,-8,-10,icivetta).sec.XX.
A007987,autorità,64,55,-9,-14,autorità2au·to·ri
A095016,avanese,92,86,-6,-6.5,ellAvana.1876.
A095017,avaro,106,99,-7,-6.6,avaro2à·va·ro
A095018,avellinese,117,109,-8,-6.8,iAvellino.sec.XX.
A008244,avveniticcio,80,70,-10,-12,vventizio.sec.XIII.
A008374,azeri,80,72,-8,-10,nealturco.sec.XX.
A095021,azero,114,106,-8,-7,erbaigian.sec.XX.
